"Date","Price","Open","High","Low","Vol.","Change %"
"May 20, 2020","27.90","27.17","28.46","27.00","4.37M","9.07%"
"May 19, 2020","25.58","26.81","27.64","25.58","4.20M","-5.96%"
"May 18, 2020","27.20","26.17","27.54","26.17","3.89M","18.26%"
"May 15, 2020","23.00","21.50","23.20","21.12","2.44M","4.59%"
"May 14, 2020","21.99","20.29","22.03","18.86","3.69M","1.43%"
"May 13, 2020","21.68","23.54","23.65","20.50","3.50M","-10.30%"
"May 12, 2020","24.17","27.48","27.48","24.13","2.60M","-10.55%"
"May 11, 2020","27.02","26.29","27.84","25.61","2.76M","-1.78%"
"May 08, 2020","27.51","26.21","27.60","25.64","3.31M","11.65%"
"May 07, 2020","24.64","24.62","25.21","24.13","2.38M","4.41%"
"May 06, 2020","23.60","24.66","25.09","23.43","2.14M","-2.44%"
"May 05, 2020","24.19","25.02","26.05","23.90","2.98M","2.33%"
"May 04, 2020","23.64","22.46","23.78","21.72","1.41M","1.03%"
"May 03, 2020","23.40","23.40","23.40","23.40","-","0.00%"
"May 02, 2020","23.40","23.40","23.40","23.40","-","0.00%"
"May 01, 2020","23.40","24.57","24.76","22.23","2.92M","-11.83%"
